utc,trade_id,side,qty,entry_px,exit_px,pnl_usdt,pnl_bps,hold_sec
2025-09-08 23:45:36.712Z,1,LONG,1.163794809009634,4296.29,4296.39,-1.3895,-2.78,20.1
2025-09-08 23:45:56.857Z,2,SHORT,1.1637704299898985,4296.38,4296.01,-1.0635,-2.13,20.0
2025-09-08 23:46:17.989Z,3,LONG,1.163870661381142,4296.01,4296.99,-0.3539,-0.71,20.1
2025-09-08 23:46:38.080Z,4,LONG,1.163602513381429,4297.00,4298.55,0.2972,0.59,20.0
2025-09-08 23:46:58.220Z,5,LONG,1.1631558745187442,4298.65,4300.24,0.3547,0.71,20.0
2025-09-08 23:47:18.603Z,6,SHORT,1.1627258013506223,4300.24,4300.60,-1.9129,-3.83,20.3
2025-09-08 23:47:38.677Z,7,LONG,1.1626284704459842,4300.60,4299.98,-2.2148,-4.43,20.1
2025-09-08 23:47:58.844Z,8,LONG,1.1627934018451207,4299.99,4300.18,-1.2733,-2.55,20.1
2025-09-08 23:48:19.043Z,9,LONG,1.1627393208207077,4300.19,4300.93,-0.6456,-1.29,20.1
2025-09-08 23:48:39.180Z,10,LONG,1.1625392647636674,4300.93,4299.99,-2.5866,-5.17,20.0
